ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,G,19,0,0,80,80,,0,19
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Bt,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Pg,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,MA,2,0,0,80,80,,0,2
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,O,12,0,0,80,80,,0,12
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Ow,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,OSV,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,P,9,0,0,80,80,,0,9
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,MT,4,0,0,80,80,,0,4
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,B,10,0,0,80,80,,0,10
75C80B4D-1E7A-4DA9-9897-D089E92220AE,MC,11,0,0,41,41,,0,11
75C80B4D-1E7A-4DA9-9897-D089E92220AE,BStrip,1,0,0,41,41,,0,1
75C80B4D-1E7A-4DA9-9897-D089E92220AE,G,7,0,0,41,41,,0,7
75C80B4D-1E7A-4DA9-9897-D089E92220AE,O,10,0,0,41,41,,0,10
75C80B4D-1E7A-4DA9-9897-D089E92220AE,P,6,0,0,41,41,,0,6
75C80B4D-1E7A-4DA9-9897-D089E92220AE,B,6,0,0,41,41,,0,6
88E111B6-A289-4BAA-906F-31F04C680E7C,MC,14,0,0,36,36,,0,14
88E111B6-A289-4BAA-906F-31F04C680E7C,G,7,0,0,36,36,,0,7
88E111B6-A289-4BAA-906F-31F04C680E7C,O,3,0,0,36,36,,0,3
88E111B6-A289-4BAA-906F-31F04C680E7C,P,1,0,0,36,36,,0,1
88E111B6-A289-4BAA-906F-31F04C680E7C,B,11,0,0,36,36,,0,11
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Gt,5,0,0,80,80,,0,5
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Gg,3,0,0,80,80,,0,3
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,R,8,0,0,80,80,,0,8
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Ot,5,0,0,80,80,,0,5
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Rg,2,0,0,80,80,,0,2
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Og,3,0,0,80,80,,0,3
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Pt,3,0,0,80,80,,0,3
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Bg,2,0,0,80,80,,0,2
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,GSG,1,0,0,80,80,,0,1
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,PSG,1,0,0,80,80,,0,1
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,G,5,0,0,80,80,,0,5
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Bt,3,0,0,80,80,,0,3
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,Pg,3,0,0,80,80,,0,3
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,O,9,0,0,80,80,,0,9
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,P,8,0,0,80,80,,0,8
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,MT,13,0,0,80,80,,0,13
90EBBAE9-E7A2-4E4A-8044-5CC9C229BC87,B,6,0,0,80,80,,0,6
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,R,11,0,0,79,79,,0,11
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,Ot,2,0,0,79,79,,0,2
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,Rt,1,0,0,79,79,,0,1
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,Pt,1,0,0,79,79,,0,1
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,BStrip,1,0,0,79,79,,0,1
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,G,12,0,0,79,79,,0,12
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,Bt,2,0,0,79,79,,0,2
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,O,10,0,0,79,79,,0,10
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,Ow,1,0,0,79,79,,0,1
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,P,20,0,0,79,79,,0,20
302AA7AD-A6FB-43FD-B1C7-FE41C2F4D7B9,B,18,0,0,79,79,,0,18
6753F994-8BFF-40C3-A6B2-06832067AD76,OC,5,0,0,42,42,,0,5
6753F994-8BFF-40C3-A6B2-06832067AD76,G,3,0,0,42,42,,0,3
6753F994-8BFF-40C3-A6B2-06832067AD76,GC,8,0,0,42,42,,0,8
6753F994-8BFF-40C3-A6B2-06832067AD76,BC,6,0,0,42,42,,0,6
6753F994-8BFF-40C3-A6B2-06832067AD76,O,5,0,0,42,42,,0,5
6753F994-8BFF-40C3-A6B2-06832067AD76,P,4,0,0,42,42,,0,4
6753F994-8BFF-40C3-A6B2-06832067AD76,PC,5,0,0,42,42,,0,5
6753F994-8BFF-40C3-A6B2-06832067AD76,B,6,0,0,42,42,,0,6
A2A6F416-CA20-4931-A68E-2AA97CE29F94,Gg,1,0,0,59,60,,1,1
A2A6F416-CA20-4931-A68E-2AA97CE29F94,R,11,0,0,59,60,,1,11
A2A6F416-CA20-4931-A68E-2AA97CE29F94,Bg,1,0,0,59,60,,1,1
A2A6F416-CA20-4931-A68E-2AA97CE29F94,OSO,2,0,0,59,60,,1,2
A2A6F416-CA20-4931-A68E-2AA97CE29F94,PSV,1,0,0,59,60,,1,1
